Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,205.3716058731079,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,425.26707339286804,4096,0.0095106345,0.08828125,-11.349017682671548,0.004702746868133545,0.0003,22.03153419494629,-0.017012637098378035,0.9993860125541687,52.11288948059082
3,2,3,630.8516108989716,6144,0.010871742,0.107666015625,-11.347379928827285,-0.35352623462677,0.0003,12.35081958770752,-0.021417560600093567,0.998868465423584,39.748234152793884
4,3,4,836.5425446033478,8192,0.009956082,0.119140625,-11.349801394343377,0.2523503303527832,0.0003,16.35057830810547,-0.021209385016845772,1.0005451440811157,49.69953905344009
5,4,0,2842.947429895401,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0,3048.496726036072,12288,0.005066288,0.018994140625,-11.33106492459774,-0.010581612586975098,0.0003,35.733341217041016,-0.006914409770251951,0.9972772598266602,1056.1134550690651
7,5,4,3254.116560459137,14336,0.010217631,0.11337890625,-11.327605459094048,0.5724018216133118,0.0003,16.46674156188965,-0.016040771976986435,0.9968211650848389,35.948048329353334
8,5,3,3459.6499316692352,16384,0.008719528,0.08974609375,-11.31233919262886,0.5022236406803131,0.0003,10.567464828491211,-0.010902751483081374,0.993733823299408,34.082455661892894
9,6,4,3665.271509170532,18432,0.017189872,0.242919921875,-11.29535460472107,0.23339152336120605,0.0003,6.888737678527832,-0.015433690239296994,0.9921987056732178,19.535149521380664
10,7,0,5678.038716554642,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0,5884.977826118469,22528,0.00783469,0.102294921875,-11.238798430562019,-0.027606487274169922,0.0003,1290.83642578125,-0.005544620123691857,0.9860373735427856,1092.6061477303506
12,8,4,6090.641669750214,24576,0.013438899,0.172021484375,-11.204756438732147,-0.24277591705322266,0.0003,1.3746808767318726,-0.012137404415989294,0.9792047739028931,5.70930504836142
13,8,3,6296.195499181747,26624,0.002198664,0.005615234375,-11.182901936769486,-0.4821052551269531,0.0003,7.434382915496826,-0.0016019965725718067,0.9791974425315857,56.1026778370142
14,9,4,6501.813776731491,28672,0.011312624,0.141650390625,-11.180084118247033,-1.0363948345184326,0.0003,1.3981295824050903,-0.006618500225886237,0.9782092571258545,11.584200983121992
15,10,0,8509.526876211166,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
