Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,5,367.8442876338959,2146,138.93046790976567,212.2285523549741,0.6546266577618178,0.010656441,0.123779296875,-11.341574266552925,-0.42489874362945557,0.0003,25.19702911376953,-0.01847460191202117,0.9970735311508179,52.32891918420792
2,2,6,728.037166595459,4315,134.19432575491294,216.51603616392597,0.619789315066314,0.011038141,0.11396484375,-11.324870854616165,0.34779757261276245,0.0003,14.1399564743042,-0.02096977540641092,0.9961830973625183,40.43555388450623
3,3,6,1088.2259953022003,6480,141.1891857470218,241.6512005084455,0.5842685053910476,0.00892627,0.109375,-11.33739881515503,0.3377090096473694,0.0003,8.677310943603516,-0.019499425671529024,0.9990819692611694,27.682686415314674
4,4,6,1448.514858007431,8670,138.99898933229701,238.37845303755324,0.5831021535759343,0.008517109,0.079345703125,-11.346422833204269,0.4582950472831726,0.0003,7.870981216430664,-0.01741447189997416,0.9994697570800781,20.65920362174511
5,4,0,3466.203024864197,10001,147.10134809263457,222.43469534441437,0.6613237555627963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,5,6,3826.437267065048,12176,140.49705545903427,213.82052236362588,0.6570793762261192,0.002233456,0.005908203125,-11.345651564002036,-0.0016815662384033203,0.0003,919.1974487304688,-0.0035566512626246547,0.9993386268615723,1057.346582326293
7,7,6,4186.707677364349,14364,143.06702616640106,233.02858318901824,0.6139462558992346,0.0077166837,0.0611328125,-11.347622960805893,0.37721240520477295,0.0003,2.3967087268829346,-0.011887374616344459,0.9987139701843262,8.465697365254163
8,8,6,4547.024779319763,16600,138.14597554602818,245.70237330710052,0.5622492517537108,0.010066874,0.08203125,-11.329977050423622,0.3074597716331482,0.0003,1.9532281160354614,-0.01226199067896232,0.9961861371994019,7.073988914489746
9,9,6,4907.303776502609,18845,142.0793483756707,193.43210862425752,0.7345179111481448,0.010734472,0.10048828125,-11.322976180911065,0.2875292897224426,0.0003,1.5369691848754883,-0.016640847870439755,0.99651700258255,4.949822833389044
10,9,0,6892.691403388977,20001,143.15172705004997,208.6942398680824,0.685940000742414,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,10,6,7252.951085090637,22274,147.11718531585092,234.51971162178674,0.6273126650995925,0.0048587695,0.030029296875,-11.322362768650056,-0.0029314756393432617,0.0003,1157.2431640625,-0.003531095061043743,0.996687114238739,1049.6146640077234
12,11,6,7613.204228639603,24545,140.72557080330114,221.93856782928916,0.6340744296031707,0.012159681,0.150390625,-11.31625894010067,0.6048167943954468,0.0003,1.317306399345398,-0.018834661599248646,0.995175302028656,3.056302097812295
13,13,6,7973.481960058212,26795,143.50805946625337,238.2506028981434,0.6023408030056728,0.013604704,0.156689453125,-11.31713292002678,0.4201969504356384,0.0003,1.2090463638305664,-0.01723419685586123,0.9957355260848999,2.770696096494794
14,14,6,8333.809507369995,29074,149.92143038376256,201.49554856647003,0.7440433868160912,0.011672216,0.150927734375,-11.326971781253814,0.5207705497741699,0.0003,0.9692150354385376,-0.012137584116135258,0.9985277056694031,2.2255145531147718
15,14,0,10280.86560344696,30001,143.9157503610924,220.99130996347233,0.6512280975432031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,15,6,10641.05700469017,32267,157.7599526019231,221.3586051660722,0.712689495326216,0.012356,0.128076171875,-11.330855497717858,0.00032848119735717773,0.0003,37.267616271972656,-0.010658260472700931,0.9972991943359375,1040.8565418489277
17,16,6,11001.341630458832,34533,158.5553564592633,221.64733183607197,0.7153497186085198,0.0155541925,0.224365234375,-11.295523387193679,-0.1345769166946411,0.0003,0.6289737820625305,-0.011383329177624546,0.9910138845443726,1.5936331612989307
18,17,6,11361.607996940613,36806,162.51585422243866,217.86315736108224,0.7459538188601939,0.021776501,0.2111328125,-11.291115728020667,0.42362987995147705,0.0003,0.9014163613319397,-0.01281638433720218,0.9924265742301941,1.751270467415452
19,19,6,11721.89446258545,39068,159.9123627540013,195.1901101261218,0.8192646781677317,0.0143551305,0.166455078125,-11.300250926613808,0.5185731053352356,0.0003,0.47734957933425903,-0.01746436640387401,0.9935367107391357,1.3332958057522775
20,19,0,13668.885413885117,40001,160.0112568477787,195.39593976987695,0.8189077881363771,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
