Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,5,342.65499114990234,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,2,690.6036705970764,4096,0.010656441,0.123779296875,-11.341574266552925,-0.42489874362945557,0.0003,25.19702911376953,-0.01847460191202117,0.9970735311508179,52.32891918420792
3,3,3,1031.7851023674011,6144,0.011038141,0.11396484375,-11.324870854616165,0.34779757261276245,0.0003,14.1399564743042,-0.02096977540641092,0.9961830973625183,40.43555388450623
4,4,3,1369.2208473682404,8192,0.00892627,0.109375,-11.33739881515503,0.3377090096473694,0.0003,8.677310943603516,-0.019499425671529024,0.9990819692611694,27.682686415314674
5,6,0,3505.574744939804,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,7,5,3844.680747270584,12288,0.002233456,0.005908203125,-11.345651564002036,-0.0016815662384033203,0.0003,919.1974487304688,-0.0035566512626246547,0.9993386268615723,1057.346582326293
7,7,2,4180.81365442276,14336,0.008392493,0.06806640625,-11.347469234466553,0.32336312532424927,0.0003,4.450429439544678,-0.013516389555297792,1.0001360177993774,10.87969623953104
8,8,2,4511.5102598667145,16384,0.0077166837,0.0611328125,-11.347622960805893,0.37721240520477295,0.0003,2.3967087268829346,-0.011887374616344459,0.9987139701843262,8.465697365254163
9,9,3,4840.125284910202,18432,0.010066874,0.08203125,-11.329977050423622,0.3074597716331482,0.0003,1.9532281160354614,-0.01226199067896232,0.9961861371994019,7.073988914489746
10,11,0,6968.9035103321075,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,12,5,7293.092906475067,22528,0.0048587695,0.030029296875,-11.322362768650056,-0.0029314756393432617,0.0003,1157.2431640625,-0.003531095061043743,0.996687114238739,1049.6146640077234
12,13,5,7618.156496763229,24576,0.012159681,0.150390625,-11.31625894010067,0.6048167943954468,0.0003,1.317306399345398,-0.018834661599248646,0.995175302028656,3.056302097812295
13,13,2,7945.390447854996,26624,0.011560854,0.16416015625,-11.317722672224045,0.5977666079998016,0.0003,1.014219045639038,-0.012063060133368709,0.9969395399093628,2.967005078494549
14,14,3,8269.45882844925,28672,0.013604704,0.156689453125,-11.31713292002678,0.4201969504356384,0.0003,1.2090463638305664,-0.01723419685586123,0.9957355260848999,2.770696096494794
15,16,0,10395.772632837296,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,17,4,10720.689517736435,32768,0.012356,0.128076171875,-11.330855497717858,0.00032848119735717773,0.0003,37.267616271972656,-0.010658260472700931,0.9972991943359375,1040.8565418489277
17,18,5,11046.099770069122,34816,0.0155541925,0.224365234375,-11.295523387193679,-0.1345769166946411,0.0003,0.6289737820625305,-0.011383329177624546,0.9910138845443726,1.5936331612989307
18,19,5,11370.938344240189,36864,0.021776501,0.2111328125,-11.291115728020667,0.42362987995147705,0.0003,0.9014163613319397,-0.01281638433720218,0.9924265742301941,1.751270467415452
19,19,2,11695.22471666336,38912,0.013800304,0.183984375,-11.300528073310852,0.4098151922225952,0.0003,0.7214898467063904,-0.01398521650407929,0.9953304529190063,1.7588572638109325
20,21,0,13819.675082921982,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,22,4,14142.684707164764,43008,0.0077561717,0.08271484375,-11.297682335972786,0.003123044967651367,0.0003,1513.318115234375,-0.003537766697991174,0.9932215809822083,1051.383283302188
