Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,205.27519249916077,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,420.79292702674866,4096,0.012190222,0.110498046875,-11.365080726146697,0.31331002712249756,0.0003,1.0314221382141113,-0.017192336519656237,1.0022828578948975,2.163468466326594
3,2,3,626.1906576156616,6144,0.009741675,0.086572265625,-11.371496698260307,0.6646623611450195,0.0003,0.8557188510894775,-0.019437584580737167,1.0028629302978516,2.2821630965918303
4,3,4,831.6829288005829,8192,0.011504769,0.128759765625,-11.355780124664307,0.7224568426609039,0.0003,0.5648679733276367,-0.023848772830388044,0.9982913136482239,2.1200621955096723
5,4,0,2837.796532869339,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0,3043.1849904060364,12288,0.0054688454,0.0240234375,-11.357805114984512,-0.002416253089904785,0.0003,924.3316040039062,-0.00438001484326378,1.0012863874435425,1034.8757248938084
7,5,4,3248.645303249359,14336,0.013578592,0.17783203125,-11.359936252236366,0.2382940649986267,0.0003,0.6388453245162964,-0.02125341490464052,1.000274419784546,1.3555339770391583
8,5,3,3454.0147461891174,16384,0.0132177975,0.165478515625,-11.339378228783607,0.5530979335308075,0.0003,0.5223203897476196,-0.020016608291189186,0.9977743625640869,1.1537161100655795
9,6,4,3659.452050447464,18432,0.017925408,0.19609375,-11.30243140757084,0.6011110246181488,0.0003,0.4985554814338684,-0.022153627733496252,0.9922816157341003,1.1943343928083778
10,7,0,5665.500406742096,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0,5870.872711181641,22528,0.009144718,0.107666015625,-11.253873899579048,-0.0017131567001342773,0.0003,62.47804260253906,-0.007067906735755969,0.9883610010147095,1042.6281442500651
12,8,4,6076.331739425659,24576,0.01470671,0.20517578125,-11.250069817900657,-0.12674427032470703,0.0003,0.8297808170318604,-0.014835583497188054,0.987450361251831,1.2791252134367823
13,8,3,6281.698386192322,26624,0.01625313,0.19189453125,-11.224405884742737,0.6491850018501282,0.0003,0.40358683466911316,-0.020159802891430444,0.9825981855392456,1.1658884955570101
14,9,4,6487.134817123413,28672,0.014680451,0.16845703125,-11.183909812569619,0.4230402708053589,0.0003,0.7004318833351135,-0.02078456180606736,0.9776109457015991,1.4957398675382136
15,10,0,8498.56373667717,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
