Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,8,236.03666138648987,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,475.88419127464294,4096,0.013610652,0.170703125,-11.329183921217918,-0.06060433387756348,0.0003,1.2366937398910522,-0.027375703079451343,0.9951715469360352,2.457288832217455
3,2,2,708.1546614170074,6144,0.012109185,0.145654296875,-11.318636044859886,0.10072928667068481,0.0003,0.8428744673728943,-0.02561410897615133,0.996091902256012,1.907129106670618
4,3,3,937.9124298095703,8192,0.0129856,0.178125,-11.309763914346695,0.20152968168258667,0.0003,0.8041028380393982,-0.0286275639446103,0.9946675300598145,2.2084597878158094
5,5,1,2967.3462767601013,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,5,0,3192.6773171424866,12288,0.0032331431,0.01884765625,-11.32287818789482,-0.002309441566467285,0.0003,2.9159369468688965,-0.0038742055832699405,0.9967396855354309,1033.9067220307886
7,6,4,3417.5419239997864,14336,0.016036106,0.199951171875,-11.316161167621612,-1.1704659461975098,0.0003,0.7914406657218933,-0.019771145549748327,0.9951756000518799,1.4289446707814932
8,6,2,3641.1271941661835,16384,0.013897799,0.1814453125,-11.281726095080376,-0.054556846618652344,0.0003,0.5214898586273193,-0.01791291170520708,0.9888229370117188,1.2050189808011056
9,7,3,3863.982028722763,18432,0.01463189,0.18115234375,-11.246631842851638,0.06699764728546143,0.0003,0.6537805199623108,-0.020299424360564443,0.9844673871994019,1.4749009991064668
10,9,1,5893.01202750206,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,9,0,6117.219721078873,22528,0.012974953,0.128955078125,-11.211261343955993,-0.00010502338409423828,0.0003,7.017662525177002,-0.005480190399975981,0.9823477268218994,1045.5059647992252
12,10,4,6338.273654460907,24576,0.0190534,0.24111328125,-11.217707899212837,-0.27790188789367676,0.0003,0.34060660004615784,-0.011168830313545186,0.9840768575668335,0.953515387326479
13,10,2,6557.80168056488,26624,0.019019175,0.2109375,-11.19394183754921,-0.16509747505187988,0.0003,0.41448578238487244,-0.0177592713967897,0.9769843816757202,1.0317425448447466
14,11,3,6778.965640306473,28672,0.015760798,0.2185546875,-11.16489830315113,0.0036650896072387695,0.0003,0.39107316732406616,-0.015078687485947739,0.9771451950073242,0.8341316586360336
15,13,1,8803.716227531433,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,13,0,9022.238721370697,32768,0.01797233,0.19755859375,-11.09337791800499,0.0398067831993103,0.0003,1188.6024169921875,-0.009009423325187527,0.9670236706733704,781.1288868363015
17,14,3,9239.800793170929,34816,0.016353337,0.2142578125,-11.062147051095963,-0.05870258808135986,0.0003,0.43306663632392883,-0.013833304907893761,0.963888943195343,0.6970299105159938
18,15,5,9458.03129529953,36864,0.01759659,0.22412109375,-11.006784981489181,0.5978903472423553,0.0003,1.0038352012634277,-0.021046437879704172,0.9551136493682861,1.3384358139708639
19,15,3,9674.964456319809,38912,0.019062439,0.206005859375,-10.948596149682999,-0.08396315574645996,0.0003,0.3143931031227112,-0.01206346413528081,0.9501801133155823,0.652242812141776
20,16,0,11691.784827947617,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,16,0,11910.234886169434,43008,0.019751266,0.2099609375,-10.919154942035675,-5.805492401123047e-05,0.0003,43.18537139892578,-0.004148045432521031,0.9495471119880676,1046.5644241668283
22,17,3,12127.422830104828,45056,0.022280306,0.215673828125,-10.921178004145622,-0.18143236637115479,0.0003,0.3002573251724243,-0.008644876521429978,0.9492718577384949,0.6924010430462658
23,18,5,12344.218012809753,47104,0.01753069,0.217919921875,-10.91142283976078,0.29068082571029663,0.0003,0.5331889986991882,-0.013628804325708187,0.9455760717391968,1.326725485175848
24,18,3,12562.080786943436,49152,0.0180965,0.226611328125,-10.885657212138176,-1.3104069232940674,0.0003,0.30257171392440796,-0.012806387801538222,0.9446122646331787,1.6420820103026927
25,19,0,14582.919079303741,51200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,19,0,14802.089780807495,53248,0.013327282,0.1439453125,-10.905269619822501,-0.001789689064025879,0.0003,46.92985153198242,-0.0026313654278055766,0.9480578303337097,1047.0992652520538
27,20,3,15019.290893554688,55296,0.023273509,0.221533203125,-10.911875170469283,-0.07879722118377686,0.0003,0.26308995485305786,-0.008215176050725859,0.94855135679245,0.5792154433205724
28,21,4,15236.000527143478,57344,0.020635279,0.2021484375,-10.894348540902138,-0.2040393352508545,0.0003,0.3001508116722107,-0.0062668764585396275,0.9442824125289917,0.8153813523240387
29,21,3,15452.104368925095,59392,0.016902246,0.21845703125,-10.885308361053466,-1.2507171630859375,0.0003,0.22926455736160278,-0.0062388939099037085,0.9454602003097534,0.6392621412407606
30,22,0,17473.96029806137,61440,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,23,5,17693.764100313187,63488,0.020829901,0.237646484375,-10.834687316417694,-0.0013927221298217773,0.0003,4.349782943725586,-0.008708628040767507,0.938793957233429,1055.2779753943905
32,23,3,17909.39877986908,65536,0.025968298,0.235986328125,-10.833896118402482,-0.04900646209716797,0.0003,0.20950233936309814,-0.004834431459312327,0.9399509429931641,0.48831434436142446
33,24,4,18127.748775959015,67584,0.0148327425,0.192041015625,-10.854026636481285,0.00020128488540649414,0.0003,0.1778360903263092,-0.0010078036459162832,0.94302898645401,0.5005570004694164
34,24,3,18343.58846306801,69632,0.0149272075,0.206494140625,-10.854625993967057,0.7942027151584625,0.0003,1.0442163944244385,-0.008366716663294938,0.9405278563499451,1.5716324334964156
35,25,0,20362.05584383011,71680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,26,5,20578.00743508339,73728,0.022806652,0.303466796875,-10.804008755087853,-0.0007665157318115234,0.0003,22.870317459106445,-0.007093197443464305,0.9347002506256104,1049.450542414002
