Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,8,364.2006895542145,3118,137.7381914067937,198.0619356323565,0.6954298965474315,0.013610652,0.170703125,-11.329183921217918,-0.06060433387756348,0.0003,1.2366937398910522,-0.027375703079451343,0.9951715469360352,2.457288832217455
2,3,8,724.3581590652466,6279,135.42530152022104,237.32603273830821,0.5706297786115616,0.0129856,0.178125,-11.309763914346695,0.20152968168258667,0.0003,0.8041028380393982,-0.0286275639446103,0.9946675300598145,2.2084597878158094
3,4,8,1084.50106716156,9501,137.88332592082597,235.44718782602467,0.5856231590360296,0.013602243,0.14658203125,-11.314721405506134,0.01956498622894287,0.0003,0.6360429525375366,-0.023749225793289953,0.9963268041610718,2.1489051684737204
4,4,0,2940.691768169403,10001,141.32818973690112,246.43997237686017,0.573479165631376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,6,9,3300.868361711502,13271,143.78678815901387,214.2333470006533,0.671169032142206,0.016036106,0.199951171875,-11.316161167621612,-1.1704659461975098,0.0003,0.7914406657218933,-0.019771145549748327,0.9951756000518799,1.4289446707814932
6,8,9,3661.0783281326294,16560,146.54801842325116,200.44356799341438,0.7311185880909187,0.01463189,0.18115234375,-11.246631842851638,0.06699764728546143,0.0003,0.6537805199623108,-0.020299424360564443,0.9844673871994019,1.4749009991064668
7,9,9,4021.2455933094025,19831,150.8706534900419,224.1979390699233,0.6729350595992234,0.016678022,0.225146484375,-11.21641996204853,-0.09492599964141846,0.0003,0.4469696283340454,-0.02464117119961884,0.98319411277771,1.3170045433565973
8,9,0,5841.021026849747,20001,160.3500529482312,236.39610930419875,0.6783108800741297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,11,9,6201.167090415955,23303,158.4396975366827,203.8464430936579,0.7772502435271195,0.0190534,0.24111328125,-11.217707899212837,-0.27790188789367676,0.0003,0.34060660004615784,-0.011168830313545186,0.9840768575668335,0.953515387326479
10,13,9,6561.387679815292,26650,155.62758695209658,215.61125168095276,0.7217971499111928,0.015760798,0.2185546875,-11.16489830315113,0.0036650896072387695,0.0003,0.39107316732406616,-0.015078687485947739,0.9771451950073242,0.8341316586360336
11,14,9,6921.5885055065155,29990,159.57678340869052,231.53520280305017,0.6892117547431034,0.0144301485,0.168994140625,-11.12953694164753,0.25540751218795776,0.0003,0.577335000038147,-0.015816463132796343,0.9706965088844299,1.2144424222409724
12,14,0,8726.853199243546,30001,161.59836852225644,197.10381535504723,0.8198642336332552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
