Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
75,1,1,1189.4195713996887,2052,237.2980843653116,238.4302833114955,0.995251446542532,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
76,1,1,1205.1995685100555,2079,281.9897997207905,212.00943375236866,1.3300813776530356,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
77,1,1,1221.1173026561737,2107,236.92529244882596,321.6659755860099,0.7365568957587023,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
78,1,1,1237.0623421669006,2134,264.305127494348,217.70033765919834,1.2140777103805311,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
79,1,1,1252.8706364631653,2161,356.3216180848312,205.42136612902465,1.734588883324953,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
80,1,1,1268.4691016674042,2188,267.1966348075018,306.10499565654465,0.8728921076064413,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
81,1,1,1284.4308488368988,2216,269.7823179582217,363.5354591985595,0.742107299664733,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
82,1,1,1300.2108371257782,2244,273.8677219811008,307.15631199765375,0.891623291736856,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
83,1,1,1316.2844898700714,2272,232.78108384935325,231.54695705536386,1.0053299201582437,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
84,1,1,1332.0396184921265,2299,277.05953594508526,231.6507078299808,1.1960228334308916,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
85,1,1,1347.8309671878815,2327,292.59349594893666,271.055481547746,1.0794598001789415,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
86,1,1,1363.3521173000336,2354,388.2192853885979,326.4314673640263,1.1892826648224686,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
87,1,1,1379.2899503707886,2382,264.13692011088085,293.833286065415,0.898934643000511,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
88,1,1,1395.2089869976044,2410,247.95624515725405,246.04448803017507,1.0077699652708518,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
89,1,1,1410.7014484405518,2437,267.3056087381039,209.6088548225871,1.275259143819813,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
90,1,1,1426.4514470100403,2465,266.5729584904914,248.57393266390585,1.072409144569965,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
91,1,1,1442.3955307006836,2493,229.59687001780142,330.89353605475526,0.6938693114265261,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
92,1,1,1458.1694276332855,2521,200.9635524165689,263.83614892662007,0.7616983238807896,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
93,1,1,1473.8435187339783,2549,267.14948039616945,363.7169228947149,0.7344983518226376,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
94,1,1,1489.7635898590088,2577,264.60977799558333,299.7345246969998,0.8828138108650516,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
95,1,1,1505.8853459358215,2605,211.4021276028104,254.02569556850864,0.8322076517877184,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
96,1,1,1522.0491485595703,2633,241.4540918195751,251.24689052802225,0.961023204355419,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
97,1,1,1537.6835193634033,2660,318.35215782138397,290.9648968874299,1.0941256530493084,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
98,1,1,1553.650309562683,2688,245.2021870924104,310.1443063761972,0.7906067661128893,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
99,1,1,1569.4420456886292,2716,179.16002915845107,383.1892482834037,0.46754972891605184,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
100,1,1,1584.953192949295,2743,309.8213878113859,333.5557053990912,0.9288445162126434,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
101,1,1,1600.6690340042114,2770,340.5047660729572,214.71916037539808,1.585814537825341,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
102,1,1,1616.369449853897,2798,270.1165918874181,345.70073763299956,0.7813596052380352,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
103,1,1,1632.1358745098114,2826,285.11253546946756,300.8205445111753,0.9477827916732456,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
104,1,1,1648.0212202072144,2854,168.45314942561225,267.4471910489994,0.6298557437260566,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
105,1,1,1663.818644285202,2882,327.1974517945256,201.41186385619613,1.6245192588463295,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
106,1,1,1679.8096058368683,2910,269.13772852624794,348.4852938073571,0.7723072775490706,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
107,1,1,1695.8303706645966,2938,219.2200922996503,210.8111031577256,1.039888739330932,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
108,1,1,1711.632696390152,2965,219.0361397784151,227.72132091659753,0.9618604832291335,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
109,1,1,1727.2445449829102,2992,283.8726988002426,319.7889929312765,0.8876875223195927,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
110,1,1,1743.220064163208,3021,351.67694911325236,369.8476432633623,0.9508697852180963,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
111,1,1,1758.7870302200317,3048,195.75639793449457,257.12448347055556,0.7613292802469023,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
112,1,1,1774.4028096199036,3075,312.4155452927763,240.9887288415934,1.296390693434186,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
113,1,1,1790.0211741924286,3102,296.55664537879744,253.14817795117546,1.1714745402433595,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
114,1,1,1805.8446946144104,3130,314.4398489367334,274.041709282351,1.1474160256851973,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
