Episode,Average Distance
1,165.39534571099392
2,265.48551474013
3,210.25822434054285
4,178.04226979600054
5,248.88110444377992
6,222.14583818722633
7,223.1317614943533
8,167.59390748903132
9,193.90738941621825
10,202.41692598791823
11,265.53886916461084
12,242.64676596184592
13,202.743710027226
14,268.78268643283513
15,249.9121405760311
16,278.5472402208887
17,217.33923280424378
18,156.56989196397285
19,236.07212777105946
20,236.5255013208608
21,164.17164428262265
22,230.05782216791
23,303.37104568554867
24,211.6939884954314
25,101.99689768053527
26,143.38490151841057
27,281.5665754469988
28,229.69683294399297
29,164.20222838159867
30,210.12611847582863
31,172.7710860544481
32,154.0885761336296
33,140.67319842272104
34,198.72668856199837
35,252.8489589770722
36,193.50415820273548
37,184.83932271020055
38,168.10937881088097
39,217.48913303443618
40,171.42382810112977
41,246.76444206142938
42,177.95570686563332
43,143.50280617174244
44,189.47876030850838
45,199.51386306297252
46,255.60790462049596
47,138.35949791671226
48,249.97576883021142
49,286.08534592206297
50,162.85092274570505
51,174.7839442552641
52,203.45662106550543
53,120.26311281048203
54,195.7654579765851
55,200.71461436413526
56,241.27524440091946
57,171.1723228436691
58,259.1993623572559
59,212.41500225861733
60,218.93519360941622
61,207.03111808231853
62,238.22206174402157
63,149.68672388606169
64,204.68676002825478
65,150.98306075720626
66,204.60890584686504
67,152.28383849343405
68,142.07506231673176
69,164.02283656715005
70,163.0698324726076
71,165.2863351192616
72,247.24438428272163
73,255.73782050611806
74,190.56816617005157
75,245.91399447766958
76,238.67244361511257
77,181.36891470375545
78,182.62705031785308
79,165.19613304710956
80,169.62322097502607
81,129.9776865063
82,254.77336450298978
83,177.1086492053948
84,149.57831881908135
85,140.82334262666689
86,175.90150874447866
87,229.97639968999448
88,213.2868981959926
89,229.6914046090279
90,151.37891391740638
91,179.3705650028896
92,233.229889073212
93,173.7261365439318
94,162.5412035051078
95,167.2008019772596
96,315.4939846920862
97,159.15605672271641
98,221.0034566023216
99,242.80213989432318
100,213.41333264394842
101,207.99401766001037
102,220.6439004424383
103,159.3240223109988
104,201.22528403386994
105,158.59762722544917
106,196.35020230227363
107,236.8334322514788
108,274.0300689073817
109,225.59154312806564
110,251.66896196388353
111,201.16193862557313
112,210.5469516244628
113,178.44345121281088
114,204.2453523584963
115,235.7103397597081
116,249.97109052263406
117,205.59200118339285
118,202.31868489697047
119,175.1648303848719
120,213.43739080631246
121,183.66938548249846
122,207.05225699431733
123,186.13041936920138
124,226.17020218910093
125,170.31556978409796
126,182.51332712801658
127,185.53737118266724
128,202.4037358781479
129,165.6536971013599
130,159.2256840842628
131,167.38807686972262
132,147.51361225296327
133,212.9848262726986
134,172.48141589807628
135,122.79689920321324
136,185.15992840402993
137,174.39423561978074
138,167.24245494091838
139,222.64767758634991
140,121.73995272683536
141,187.37686632627782
142,124.58233077542472
143,192.4185255369103
144,143.05183085208046
145,199.36354304814716
146,188.63464118556598
147,233.27266817018605
148,172.23421882900368
149,156.073842420205
150,202.30683403769856
151,103.93827523929873
152,166.72262048784825
153,221.31764980329012
154,182.44538398156467
155,142.09678022318263
156,168.3950492474989
157,207.38072889578615
158,252.2738722302723
159,154.337745278186
160,226.3764366520931
161,200.8457366190539
162,141.09547922404212
163,180.97326882092452
164,134.59299003086295
165,205.40158973940376
166,188.08673435259757
167,182.82105325581708
168,141.26968966191671
169,189.36774846032685
170,228.31324589527267
171,154.83788709960916
172,223.27771206371216
173,209.36835811083765
174,164.40741830941568
175,235.3092695984235
176,158.70996453534167
177,197.37402510522884
178,178.57617741924878
179,222.0281972511683
180,179.33994022663276
181,166.8875331676925
182,191.03627754125742
183,164.327675787086
184,149.50106302630948
185,169.3349693216333
186,207.9437950050495
187,193.6806493057483
188,198.5249418790224
189,176.0592722564888
190,175.9130510511854
191,145.12751453652004
192,141.6460068171565
193,97.92532504415581
194,147.10433344132133
195,176.9924676658293
196,152.11226543633174
197,192.14252486559542
198,214.4595028664829
199,155.20237795096668
200,132.73818331239173
201,174.73952471392806
202,164.10786524235482
203,229.56096230859345
204,171.75321856367617
205,222.16078481129043
206,174.61978211804177
207,162.12593037750307
208,179.0665266947833
209,191.0396956770263
210,214.81950581768794
211,209.83515751612876
212,171.610726828828
213,183.44103228051904
214,163.72632456174023
215,162.23641209372178
216,191.04169585459522
217,167.56221714950067
218,108.34061637255111
219,157.94539098579125
220,125.51618055287202
221,182.95278238700743
222,133.54515736702157
223,146.38527970957847
224,211.5574434589265
225,183.75562538920178
226,225.73685676468352
227,168.95665882111965
228,218.00603126052093
229,100.45015683310582
230,160.45682278096496
231,244.8092819262055
232,260.3967579297261
233,116.39597587304704
234,162.27519357427047
235,168.57987175347878
236,154.60093452861014
237,194.62722895842913
238,158.78481930890928
239,184.39359634387517
240,227.23527955346762
241,132.79860823720833
242,139.03004107323278
243,208.38496900634692
244,218.1332878634959
245,207.7865778297974
246,239.33391433544978
247,169.03758316101064
248,148.25893106753506
249,250.35660725565864
250,191.5911924796483
251,156.6555704248637
252,198.11339945042417
253,179.9501596153846
254,144.55620809846155
255,149.63272226731266
256,142.70475411407241
257,108.13434885364963
258,140.43361203601506
259,258.32340280952144
260,182.17177082320643
261,159.93040015937262
262,170.29097407197287
263,206.86105817734918
264,252.78951862389007
265,189.36629025107885
266,169.407647034672
267,167.472921165853
268,169.1638530867944
269,164.63640845512282
270,213.14525302771636
271,238.54439818357037
272,234.5482067903524
273,126.69265384704534
274,219.3044831924323
275,225.38648153345534
276,186.98050931373348
277,133.78095779226393
278,161.18198427037666
279,190.3990570218716
280,197.8376458281599
