Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,204.85622692108154,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,418.2514600753784,4096,0.0127288345,0.151171875,-11.364154374599456,0.46930932998657227,0.0003,34.64341735839844,-0.02055412861664081,1.0034524202346802,81.01619682312011
3,2,3,623.7996215820312,6144,0.009859102,0.110205078125,-11.374073699116707,0.4667753577232361,0.0003,26.049346923828125,-0.015825226504239252,1.002744436264038,69.00768949985505
4,3,4,829.3988370895386,8192,0.008461245,0.08828125,-11.372194194793702,0.3576650023460388,0.0003,22.070018768310547,-0.017722943853004835,1.0022639036178589,65.07666412591934
5,4,0,2835.786867380142,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0,3041.328497171402,12288,0.008094426,0.06943359375,-11.353580686450005,0.03018653392791748,0.0003,43.75947189331055,-0.008281156970770098,0.9999290704727173,990.9378178238869
7,5,4,3246.9222042560577,14336,0.008962537,0.0740234375,-11.356658267974854,0.5692251026630402,0.0003,18.71953010559082,-0.016700816398952156,1.0013619661331177,67.10675222873688
8,5,3,3452.4650242328644,16384,0.009188649,0.077490234375,-11.353642523288727,0.6129860877990723,0.0003,14.64022159576416,-0.015503661129332613,0.9990667104721069,55.158239191770555
9,6,4,3658.06565284729,18432,0.009832282,0.100439453125,-11.32878794670105,0.5016378164291382,0.0003,12.077095031738281,-0.017628462526772637,0.9959328174591064,46.69780516624451
10,7,0,5664.156617164612,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0,5869.709645271301,22528,0.01096567,0.073486328125,-11.307770529389382,0.1718936562538147,0.0003,131.30674743652344,-0.0071577889633772426,0.9948080778121948,906.1932511180639
12,8,4,6075.298720598221,24576,0.0113034975,0.1255859375,-11.308941513299942,0.2571808695793152,0.0003,14.277477264404297,-0.015183710723067633,0.9943416714668274,41.799877405166626
13,8,3,6280.8263347148895,26624,0.010575912,0.113232421875,-11.29046260714531,0.7486313879489899,0.0003,12.186528205871582,-0.014033446572284447,0.9905980229377747,40.818549019098285
14,9,4,6486.418083429337,28672,0.020546548,0.309423828125,-11.241790273785591,0.036251187324523926,0.0003,1.1072776317596436,-0.006760654866229743,0.9837913513183594,3.5021199859678744
15,10,0,8493.54088807106,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,10,0,8699.622220039368,32768,0.00015790985,0.0,-11.2197796523571,0.009880006313323975,0.0003,2866.4404296875,-0.0007120554440916749,0.9838522672653198,1058.3325756430627
17,11,4,8905.209737300873,34816,0.0006315633,0.000439453125,-11.218859726190567,0.6601646244525909,0.0003,8.202662467956543,-0.002819524718870525,0.9836137890815735,26.71139495074749
18,11,2,9110.74033164978,36864,0.020601928,0.24208984375,-11.220109504461288,-0.18146705627441406,0.0003,0.8257237076759338,-0.014936522321659141,0.982600212097168,3.320335654169321
19,12,3,9316.325886964798,38912,0.0096260505,0.07880859375,-11.207221287488938,-0.33652257919311523,0.0003,18.568111419677734,-0.00922889987778035,0.9816566109657288,26.934762396663427
20,13,0,11322.714522838593,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,13,0,11528.593860387802,43008,0.00727316,0.07978515625,-11.19733918607235,0.0142403244972229,0.0003,52.96297073364258,-0.0029258273301820737,0.9811336994171143,1024.7694382414222
22,14,4,11734.784352779388,45056,0.014509078,0.17216796875,-11.194633546471596,-0.9168596267700195,0.0003,0.6302705407142639,-0.010890031756571262,0.9816098809242249,3.838035561516881
23,14,2,11940.372744321823,47104,0.018479157,0.223046875,-11.161782494187355,0.0254022479057312,0.0003,0.7215328812599182,-0.007876649097306654,0.9737315773963928,2.311391068994999
24,15,3,12145.953387022018,49152,0.01265518,0.167529296875,-11.144778019189834,0.08565932512283325,0.0003,0.825912356376648,-0.010204996250104159,0.9755369424819946,1.870116614550352
25,16,0,14152.138797283173,51200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,16,0,14357.666622161865,53248,0.0001458037,0.0,-11.150253987312317,0.15302836894989014,0.0003,425.8342590332031,-0.000856829026088235,0.9754388332366943,1092.6304140508175
27,17,3,14563.250940561295,55296,0.014050656,0.1373046875,-11.152745431661605,-2.885666608810425,0.0003,9.175328254699707,-0.008663567279290874,0.9761718511581421,8.233552490733564
28,18,5,14768.933697938919,57344,0.016082112,0.21357421875,-11.160080674290658,0.009381592273712158,0.0003,0.7119868993759155,-0.005674319952959195,0.9764032959938049,1.295215494558215
29,18,3,14976.930779218674,59392,0.0056135254,0.08349609375,-11.158786261081696,0.7836362272500992,0.0003,10.474791526794434,0.0028140579124737997,0.9761699438095093,29.2502766687423
30,19,0,16984.026316165924,61440,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,19,0,17189.5593893528,63488,0.011806451,0.07705078125,-11.153943338990212,0.000629127025604248,0.0003,87.59232330322266,-0.004798764170118375,0.9751148819923401,1055.394979634136
32,20,3,17395.14606642723,65536,0.021130692,0.24521484375,-11.170566302537917,-0.22508692741394043,0.0003,0.7140922546386719,-0.010674779236433096,0.9785482883453369,1.422626773826778
33,21,5,17600.727984905243,67584,0.007473352,0.089208984375,-11.175851848721504,0.3672255277633667,0.0003,6.645761489868164,-0.002954137573760818,0.978566586971283,27.693305364251138
34,21,3,17806.258640527725,69632,0.0039329436,0.005810546875,-11.174390920996666,0.4352048635482788,0.0003,9.838249206542969,-0.004235966477790498,0.9781084656715393,31.185306653752924
35,22,0,19812.474483966827,71680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,23,5,20018.146095991135,73728,0.011268086,0.105419921875,-11.134921675920486,-0.00014102458953857422,0.0003,1231.214599609375,-0.0030571674418752083,0.9740109443664551,1045.009473841265
37,23,3,20224.051852703094,75776,0.0035640644,0.01875,-11.138019222021104,0.8257968872785568,0.0003,33.20262145996094,-0.002841367640212411,0.9740813970565796,52.84648118540645
38,24,4,20429.670325517654,77824,0.016732555,0.143408203125,-11.14006629884243,-0.7753958702087402,0.0003,1.6696480512619019,-0.009798509335632843,0.9743109345436096,8.166435004025697
39,24,3,20635.199437379837,79872,0.0018070774,0.00322265625,-11.139664649963379,0.37478262186050415,0.0003,4.675849437713623,-0.0024427645606920124,0.9742617011070251,35.260431335121396
40,25,0,22641.364537000656,81920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,26,5,22846.945445775986,83968,0.013356,0.121826171875,-11.133362177014352,-0.0028731822967529297,0.0003,6.7830376625061035,-0.008001878613140435,0.9744316339492798,1046.9142417117953
42,26,3,23053.7442176342,86016,0.020903394,0.299462890625,-11.090743187069894,-0.15886437892913818,0.0003,0.741786003112793,-0.004417273527360521,0.9675869941711426,1.2735008712857963
43,27,4,23261.1433095932,88064,0.015095305,0.21259765625,-11.10048686861992,0.04422903060913086,0.0003,0.543552577495575,-0.007292054800200276,0.970928430557251,1.0292451292276383
44,28,0,25269.284259796143,90112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,28,0,25474.81544303894,92160,0.0051701954,0.048095703125,-11.106118017435074,-0.010997772216796875,0.0003,693.7023315429688,-0.0009594371149432845,0.9707241654396057,1055.955999506265
46,29,4,25680.407955408096,94208,0.017256439,0.181689453125,-11.099092230200768,-0.806674599647522,0.0003,0.7594591379165649,-0.013314587730565108,0.9695817232131958,1.2838282819837332
47,29,3,25885.938278913498,96256,0.017156903,0.217236328125,-11.104080548882484,0.029323995113372803,0.0003,0.5421604514122009,-0.015210521606786643,0.970575213432312,1.206032764352858
48,30,4,26091.52434849739,98304,0.0037544572,0.03076171875,-11.10560031235218,0.5420088469982147,0.0003,20.69465446472168,-0.0016854556066391523,0.9708735942840576,20.529078610613944
49,31,0,28097.78994512558,100352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,31,0,28303.34740805626,102400,0.0051384824,0.04892578125,-11.070386371016502,0.055801212787628174,0.0003,1240.937255859375,-0.001501998701132834,0.9665938019752502,1057.706886987388
51,32,4,28508.934019804,104448,0.006680875,0.0400390625,-11.06938105225563,0.8763941079378128,0.0003,6.397631645202637,-0.00840182843603543,0.9663413166999817,12.72850795276463
52,32,3,28714.468366861343,106496,0.010194206,0.07275390625,-11.067122051119805,0.6025039553642273,0.0003,3.8143882751464844,-0.010980954209662741,0.9657385349273682,10.518548016622663
53,33,4,28920.053708314896,108544,0.022095315,0.213232421875,-11.05626126229763,-0.3160285949707031,0.0003,0.6149293184280396,-0.008017270296113566,0.9646668434143066,1.3995528295636177
54,34,0,30926.261318683624,110592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,34,0,31131.86399793625,112640,0.01848786,0.134423828125,-11.0555830180645,0.0005358457565307617,0.0003,521.8109130859375,-0.005056994495680556,0.9655581116676331,1046.6003939509392
56,35,4,31337.851452350616,114688,0.022186957,0.262060546875,-11.032864063978195,-0.13424408435821533,0.0003,0.5835809111595154,-0.0053361541809863414,0.9603386521339417,1.2152414731681347
57,35,3,31543.380022525787,116736,0.015859185,0.171484375,-11.034570834040641,-3.3350348472595215,0.0003,0.5924853682518005,-0.004670234583318234,0.9622679948806763,7.062689820490777
58,36,3,31748.986545801163,118784,0.015355329,0.20400390625,-11.029936456680298,-0.011409997940063477,0.0003,0.7992914319038391,-0.0054969217031612064,0.9622606039047241,1.1682133864611388
59,37,0,33755.381130456924,120832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,37,0,33960.91098690033,122880,0.006634999,0.072021484375,-11.058522927761079,0.018857598304748535,0.0003,1542.6236572265625,-0.001541253847972257,0.9651288986206055,1056.6319295555354
61,38,4,34166.49901676178,124928,0.019350458,0.1837890625,-11.020502170920372,-0.019467830657958984,0.0003,0.7196374535560608,-0.0035363541246624663,0.9577224850654602,1.416476116515696
62,38,2,34372.08509206772,126976,0.0136427805,0.171240234375,-10.998679268360139,-5.733882427215576,0.0003,2.3413918018341064,-0.006028212439559866,0.9588463306427002,5.50327562559396
63,39,3,34577.67127585411,129024,0.017434064,0.20146484375,-11.017587670683861,-0.010222196578979492,0.0003,0.4678787589073181,-0.007365137824672274,0.9623821973800659,1.0913885649293662
64,40,0,36584.14964580536,131072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,40,0,36789.728541851044,133120,0.0015944624,0.0041015625,-11.030699950456619,0.05513572692871094,0.0003,13.99530029296875,-0.001622660665452713,0.9622527956962585,1063.3370221868158
66,41,3,36995.32256889343,135168,0.018310811,0.14521484375,-11.039552050828934,-2.746476888656616,0.0003,0.51656174659729,-0.006171977031772258,0.9660260677337646,1.5231996420770884
67,42,5,37200.907947301865,137216,0.019550238,0.18388671875,-11.05647047162056,0.5952228605747223,0.0003,2.7971858978271484,-0.009191476069827332,0.9662593603134155,8.423783503845334
68,42,3,37406.441245794296,139264,0.016895954,0.2228515625,-11.056449869275093,-0.7988888025283813,0.0003,0.5248125791549683,-0.00448498236364685,0.9658895134925842,2.4529988491907715
69,43,0,39413.37832450867,141312,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70,43,0,39618.908682107925,143360,0.01033285,0.113525390625,-11.025618857145309,-0.0022374391555786133,0.0003,18.619548797607422,-0.003933421197871212,0.9619471430778503,1046.9499014616013
71,44,3,39824.494992256165,145408,0.016522396,0.154638671875,-11.01808416545391,-0.33542823791503906,0.0003,1.1876286268234253,-0.010850271928939037,0.9606845378875732,2.297316121123731
72,45,5,40030.09033846855,147456,0.021101749,0.23193359375,-11.00369189977646,-0.1634068489074707,0.0003,0.5311611294746399,-0.005708228416915517,0.9585424661636353,1.1071922481060028
73,45,3,40236.103741168976,149504,0.020459553,0.1875,-11.001332414150237,0.7506516873836517,0.0003,4.517945289611816,-0.003902452969487058,0.9606371521949768,2.0644682848826053
74,46,0,42245.53863978386,151552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,47,5,42451.28870177269,153600,0.012690845,0.146875,-10.98139792382717,-0.00018978118896484375,0.0003,139.38746643066406,-0.0010780762604554184,0.9573599696159363,1056.4796306036412
76,47,3,42656.82087826729,155648,0.022351876,0.228662109375,-10.969150647521019,0.9413250498473644,0.0003,0.7575344443321228,-0.0066029150431859305,0.9537732601165771,2.4329497341066597
77,48,4,42862.40670514107,157696,0.018350996,0.18203125,-10.957776913046837,-0.792982816696167,0.0003,1.9600954055786133,-0.0012845169942011126,0.9551256895065308,3.3531800696626304
78,48,3,43067.93525719643,159744,0.006223618,0.0494140625,-10.963903561234474,0.621183842420578,0.0003,7.667965888977051,-0.00743911778263282,0.9545917510986328,21.885105726122855
79,49,0,45074.0464451313,161792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80,50,5,45279.62830519676,163840,0.012934488,0.167138671875,-10.91930533349514,0.0035890936851501465,0.0003,4.490068435668945,-0.009159205642208689,0.9505645036697388,1044.7338750466704
81,50,3,45485.15681195259,165888,0.025743663,0.2255859375,-10.917333057522773,0.21557152271270752,0.0003,0.4814963936805725,-0.0076561403999221515,0.9476913213729858,1.5570164332166314
82,51,4,45690.74345397949,167936,0.021424517,0.24521484375,-10.87155170738697,-0.005076169967651367,0.0003,0.5024926066398621,-0.007169220109062735,0.9413019418716431,1.0354241305962204
83,51,3,45896.26321268082,169984,0.017779239,0.191259765625,-10.86169938147068,-1.9255974292755127,0.0003,3.025895595550537,-0.002117936930153519,0.9444394111633301,4.032384588383138
84,52,0,47902.51022815704,172032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,53,5,48108.101197481155,174080,0.003939004,0.028564453125,-10.838167110085488,0.032493650913238525,0.0003,1349.1507568359375,-0.00022025596990715712,0.9398707747459412,933.6458374336362
86,53,3,48313.63054347038,176128,0.018609583,0.13798828125,-10.82108606696129,0.6928091943264008,0.0003,0.6043219566345215,-0.006117206292401534,0.9352186918258667,1.7164718452841043
87,54,4,48519.21670842171,178176,0.02066189,0.2521484375,-10.806515008211136,-0.007307767868041992,0.0003,0.8188284635543823,-0.008520026002952364,0.9363463521003723,1.2354522131383419
