Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,366.6527316570282,3595,140.03270735205894,198.4457369406055,0.7056473447649344,0.012678469,0.1552734375,-11.359532809257507,0.31549733877182007,0.0003,15.713186264038086,-0.021356181823648512,1.0013765096664429,46.0375351190567
2,3,9,726.8029689788818,7185,137.35208753178821,225.46803914441898,0.6091865084426007,0.010837367,0.11943359375,-11.331838387250901,0.35185593366622925,0.0003,13.145406723022461,-0.021889859793009236,0.996178150177002,39.65463427901268
3,4,1,2809.6017577648163,10001,138.7177957728601,207.2076106619904,0.6694628413004817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,9,3169.796507358551,13590,140.8773881114798,222.82728504352053,0.6322268302284657,0.008799758,0.07197265625,-11.303245276212692,0.16888397932052612,0.0003,7.422703742980957,-0.014700947517121676,0.9929339289665222,34.31791503727436
5,8,9,3529.9176421165466,17180,144.48129227618676,238.45589325105897,0.6059036340279048,0.0076200697,0.074560546875,-11.292155548930168,0.3070445656776428,0.0003,8.829133033752441,-0.015161317885213067,0.9912694692611694,26.420705500245095
6,9,1,5613.403482198715,20001,153.92183841836507,241.7899042221962,0.6365933222626055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,11,9,5973.523525476456,23591,156.0273140666931,203.7846793246684,0.765647911235326,0.0056816232,0.02275390625,-11.27496983408928,0.6048759818077087,0.0003,6.904256343841553,-0.008722668786322173,0.9901474118232727,12.681988860666753
8,13,9,6333.642515182495,27181,157.61832459619674,216.5718978134329,0.7277875208535963,0.0068267775,0.040771484375,-11.243083599209786,0.4206024408340454,0.0003,4.267398834228516,-0.009511962854594458,0.9852034449577332,8.74051849991083
9,14,1,8418.98993897438,30001,163.6727847541377,225.0014473247216,0.7274299196748076,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,16,9,8779.170261621475,33584,157.60312742649057,203.70231715041413,0.7736933464046762,0.013751599,0.18154296875,-11.284928274154662,-0.30538785457611084,0.0003,1.2776776552200317,-0.016269852612458634,0.9902660250663757,2.8318715292960404
