Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,8,366.2864751815796,3142,140.48098075676924,211.59115209098073,0.6639265364761789,0.012521716,0.15224609375,-11.349902081489564,0.04224592447280884,0.0003,2.71711802482605,-0.021115315399947578,0.9998325705528259,5.533130725473166
2,3,8,726.4222378730774,6267,139.8472024169576,225.36256768097473,0.6205431711930375,0.011169286,0.11796875,-11.359102630615235,0.43083280324935913,0.0003,2.579400062561035,-0.020979308515961748,1.0000979900360107,4.922584989666939
3,4,8,1086.598399400711,9411,139.91215133447494,231.5559058480556,0.6042262270187301,0.012683257,0.160498046875,-11.357401552796365,0.48459815979003906,0.0003,2.1782922744750977,-0.02180979926051805,1.000520944595337,4.027612133324146
4,4,0,2954.408675432205,10001,148.3995591486984,238.75133728015624,0.6215653526353362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,6,8,3314.5746488571167,13131,139.0969376879775,219.43920575592202,0.6338745950561465,0.013409909,0.137841796875,-11.39190211892128,-0.014338850975036621,0.0003,1.4338334798812866,-0.015488413404091262,1.007820725440979,3.5102027729153633
6,7,8,3674.760481119156,16269,142.63754546226698,202.73424402757894,0.7035690795426909,0.0100720115,0.1154296875,-11.416934567689896,0.5104505717754364,0.0003,2.010885000228882,-0.01783660478249658,1.0090525150299072,3.52292885184288
7,9,8,4034.9424901008606,19378,134.86641843332055,215.38670695287698,0.6261594336127116,0.01305451,0.176171875,-11.36243758201599,0.5680410861968994,0.0003,2.2830257415771484,-0.02077867656480521,1.000738501548767,3.7644966639578343
8,9,0,5906.747123479843,20001,129.41912175943048,201.3298484800873,0.6428213339276952,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,11,8,6266.9349319934845,23173,135.57483808349875,198.41869665535103,0.683276527710437,0.01642014,0.1779296875,-11.325139611959457,0.5360197722911835,0.0003,2.2362568378448486,-0.01938494501519017,0.9946750998497009,4.26536148712039
10,12,8,6627.139278173447,26363,141.75896843411522,207.1437329489322,0.6843507472613883,0.015640484,0.21171875,-11.28002772629261,0.29387152194976807,0.0003,1.4406380653381348,-0.015319285613077226,0.9885637760162354,3.6888792753219604
11,14,8,6987.226042032242,29577,143.35578505469317,213.25283580558943,0.6722338979134728,0.018292103,0.196826171875,-11.177417477965355,0.48666685819625854,0.0003,2.6496381759643555,-0.02070095685776323,0.975517988204956,4.771197135001421
