Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,558,5.000457525253296,2792,227.84311961165196,235.09192224949115,0.9691660922737004,0.006183968,0.033251953125,-11.349249595403672,-5.8770179748535156e-05,0.0003,7998555.0,-0.003424255618301686,0.9995117783546448,16328134.35
2,2,581,10.00864028930664,5706,189.76191632780436,244.3951718017359,0.7764552586241252,0.004784881,0.014404296875,-11.34538331925869,-0.01751387119293213,0.0003,5754108.0,-0.0034283468277862992,0.9988817572593689,11526010.484375
3,4,439,15.663381814956665,8193,196.55320184409305,310.14227197776717,0.6337517313930787,0.004686891,0.019384765625,-11.331682339310646,-0.007914543151855469,0.0003,4505254.5,-0.0033904265335877428,0.9975738525390625,9470993.43125
4,5,584,20.664299726486206,11116,196.24192619192937,332.3567360532956,0.5904556908407618,0.0053129722,0.020947265625,-11.332242456078529,-0.0007297992706298828,0.0003,8692544.0,-0.003941041479993146,0.9976714253425598,17194727.096875
5,6,595,25.66513228416443,14092,270.0447761579108,250.48812819637223,1.0780741510679779,0.0058822837,0.030224609375,-11.33935180902481,0.0037607550621032715,0.0003,3800174.25,-0.005974182963836938,0.9992875456809998,8666789.0328125
6,8,416,31.16440510749817,16385,173.9860408232152,239.18705148953015,0.7274057677442085,0.004060777,0.01240234375,-11.34861490726471,0.00972825288772583,0.0003,5100875.5,-0.0030392451109946704,0.999565601348877,9169122.9140625
7,9,575,36.164653301239014,19261,162.53415482833918,290.33084576048753,0.5598239291543413,0.0057603978,0.021533203125,-11.34798730611801,-0.000766754150390625,0.0003,5862177.5,-0.00453784631608869,0.9995296001434326,11489801.1
8,10,564,41.16617178916931,22083,220.99829351249636,306.5815829430942,0.7208466059538766,0.006439768,0.02919921875,-11.345247474312782,-0.002211928367614746,0.0003,5512618.5,-0.004850519855972379,0.9986307621002197,8930793.90625
9,12,439,46.838154315948486,24577,219.52009734410373,338.4154251803543,0.6486704831114398,0.005046659,0.0107421875,-11.331645101308823,-0.0003485679626464844,0.0003,5189856.5,-0.003909509650111431,0.9969717264175415,11121237.803125
10,13,570,51.843865633010864,27433,232.85412128192962,292.4961538208665,0.7960929340101223,0.004103449,0.00498046875,-11.323358318209648,-0.0011368989944458008,0.0003,5963340.0,-0.002671908903721487,0.9958105087280273,12084270.546875
11,14,587,56.85166668891907,30375,171.6970260976646,250.98885958900289,0.6840822591840149,0.0057861144,0.026220703125,-11.31882068514824,-0.06222522258758545,0.0003,8504602.0,-0.0051076075753371695,0.9961205124855042,16213805.16875
12,16,440,62.285250186920166,32769,149.34107647710923,343.8858529810403,0.4342751386325362,0.006101828,0.0291015625,-11.326238906383514,0.002507805824279785,0.0003,2417587.0,-0.0034956909556058237,0.996547281742096,4714161.3265625
13,17,579,67.28548002243042,35669,63.2661235673858,206.1286006356226,0.30692549880170444,0.0051198946,0.03544921875,-11.323359343409539,0.012298405170440674,0.0003,468780.90625,-0.004161558905616402,0.9965970516204834,1243478.365234375
14,18,593,72.2944061756134,38640,182.90136294070103,271.26555254952666,0.6742520796381162,0.0028965846,0.005029296875,-11.324650076031684,-0.06406664848327637,0.0003,5917376.0,-0.0030262965708971025,0.9969372153282166,12379941.2875
15,20,425,77.75379633903503,40961,231.90721829057114,264.0684703834177,0.8782086629041717,0.0057062907,0.02138671875,-11.308517083525658,0.00799494981765747,0.0003,7187580.0,-0.003368934524769429,0.9945777058601379,14503100.75625
16,21,571,82.7552878856659,43818,204.0433921093837,210.00068635370476,0.9716320248863988,0.0077373264,0.0380859375,-11.3084165006876,0.09805190563201904,0.0003,6288114.0,-0.004577890703512821,0.9947634935379028,12703103.275
17,22,578,87.75627994537354,46713,212.5104663971041,224.12942689437278,0.9481595939530758,0.0045257313,0.0138671875,-11.30676286816597,0.08899664878845215,0.0003,5104909.0,-0.005325368495687144,0.9939858317375183,10710092.76875
18,24,438,93.32108855247498,49153,94.13913495635563,227.47651809529208,0.41384111091818215,0.004949832,0.0236328125,-11.281926926970481,0.010885000228881836,0.0003,874639.375,-0.004379283032903913,0.9892202019691467,1735922.178515625
19,25,595,98.32163500785828,52130,295.23971002349737,358.0530623436847,0.8245697106763058,0.007481488,0.028271484375,-11.263584691286088,-0.0456005334854126,0.0003,9240050.0,-0.004396400681434898,0.9892809391021729,18409307.25625
20,26,581,103.32913851737976,55042,208.9214838581258,322.3718488104912,0.6480760793134326,0.0052898955,0.01669921875,-11.2587248980999,-0.005020856857299805,0.0003,11758658.0,-0.004554200054553803,0.9876768589019775,23677652.41875
21,28,418,108.83045029640198,57345,271.1324148820929,236.74796599331935,1.1452365123582258,0.005079303,0.01259765625,-11.256826800107955,0.0001913905143737793,0.0003,10520528.0,-0.004922351051936858,0.9886837005615234,22999247.575
22,29,576,113.83494901657104,60228,150.55413350965517,282.39157211220027,0.5331396131391513,0.0047131656,0.0123046875,-11.260735854506493,-0.09001147747039795,0.0003,2379123.5,-0.003065683953172993,0.9892865419387817,5069287.43359375
23,30,581,118.83557558059692,63135,229.49451417566064,250.88318301389194,0.9147465024108572,0.0062955497,0.028857421875,-11.264161550998688,-0.19610559940338135,0.0003,5321777.0,-0.006008801684220089,0.9889886379241943,10531824.784375
24,32,429,124.42162585258484,65537,62.18232656055605,227.63572376882306,0.2731659404378274,0.0054625347,0.035107421875,-11.27260763347149,-0.08557689189910889,0.0003,321092.90625,-0.005806563352962257,0.9928526282310486,597593.228515625
25,33,586,129.42238664627075,68472,249.67430847732012,360.84622763720284,0.6919133119727229,0.0037030086,0.004248046875,-11.295697578787804,-0.11926782131195068,0.0003,7990003.0,-0.0036421740567675444,0.9938845634460449,17034688.63125
