Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,213.60010838508606,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,435.2201724052429,4096,0.012035629,0.1451171875,-11.344075244665145,0.011108100414276123,0.0003,14.845693588256836,-0.020425113712553865,0.9987922310829163,42.5725762963295
3,2,3,649.4160168170929,6144,0.010329686,0.1181640625,-11.335768777132035,0.22221165895462036,0.0003,11.544435501098633,-0.022278369254490827,0.9972580671310425,41.740024626255035
4,3,4,863.7808170318604,8192,0.008691043,0.085546875,-11.319760742783547,-0.058742403984069824,0.0003,11.757810592651367,-0.016730049581383355,0.9949800372123718,34.195120030641554
5,4,0,2880.3228647708893,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0,3094.9305465221405,12288,0.0045723077,0.01708984375,-11.297311893105507,0.0021021366119384766,0.0003,22.494789123535156,-0.005865482262743171,0.9931399822235107,1031.5589648485184
7,5,4,3309.3071372509003,14336,0.0075587677,0.0603515625,-11.294964015483856,-0.13046562671661377,0.0003,10.451680183410645,-0.015645355576998553,0.9929679036140442,29.55424800515175
8,5,3,3524.0995581150055,16384,0.0070337607,0.0447265625,-11.295795425772667,-0.36924636363983154,0.0003,5.4046173095703125,-0.011881244882533792,0.9933130145072937,21.56411378532648
9,6,3,3741.626854658127,18432,0.009887289,0.083154296875,-11.301272836327552,-0.6200677156448364,0.0003,5.165408134460449,-0.01700561806283076,0.9944207668304443,18.697986714541912
10,7,0,5758.185677528381,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0,5971.218227863312,22528,0.004802015,0.018994140625,-11.301775830984116,-0.0032232999801635742,0.0003,1065.4962158203125,-0.005276869190856815,0.9941814541816711,1052.2356285870076
12,8,4,6183.764265060425,24576,0.009350762,0.08037109375,-11.30528367459774,-0.13257527351379395,0.0003,2.371690511703491,-0.012279169764951803,0.9941090941429138,8.608457275480031
13,8,2,6395.8943700790405,26624,0.014588614,0.145458984375,-11.272700834274293,-0.08342349529266357,0.0003,1.2840673923492432,-0.018819350101694,0.9855185151100159,5.441260901838541
14,9,3,6608.270638465881,28672,0.012778261,0.148779296875,-11.206110095977783,0.054820358753204346,0.0003,1.4493403434753418,-0.01321130111682578,0.9793956279754639,4.185044949129224
15,10,0,8621.211086273193,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,10,0,8833.123518943787,32768,0.006017073,0.026171875,-11.131927928328514,-0.0017189979553222656,0.0003,8.93408489227295,-0.004975379577081185,0.9730450510978699,1044.0113885313272
17,11,4,9045.271743297577,34816,0.023180494,0.24755859375,-11.134329134225846,0.12677061557769775,0.0003,1.0250804424285889,-0.023443250998388974,0.9728081226348877,3.0069238640367986
18,11,2,9257.3107047081,36864,0.01890846,0.210302734375,-11.109787288308144,0.2213190793991089,0.0003,1.3072559833526611,-0.01705334073267295,0.9699006080627441,3.3274892300367354
19,12,3,9469.362513542175,38912,0.01995167,0.2162109375,-11.128893768787384,0.1770206093788147,0.0003,1.3002614974975586,-0.015082348373834976,0.974819004535675,2.967175713554025
20,13,0,11482.455240249634,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,13,0,11695.833811044693,43008,0.0066649085,0.0880859375,-11.142032068967819,0.005260646343231201,0.0003,660.3323364257812,-0.0036898456994094884,0.9745566844940186,1030.4705247864126
22,14,3,11908.009166002274,45056,0.017511446,0.21171875,-11.118245857954026,-1.2353026866912842,0.0003,1.4690848588943481,-0.019045979558723048,0.9693160057067871,3.862814675271511
23,15,5,12120.157228469849,47104,0.021757487,0.271337890625,-11.087637957930564,0.21263259649276733,0.0003,0.7470120787620544,-0.012043691243161448,0.9671106934547424,1.8906224483624101
24,15,3,12332.126487731934,49152,0.01938677,0.256689453125,-11.080569276213646,0.24267929792404175,0.0003,1.251247525215149,-0.014003700792090967,0.9680815935134888,1.8246532386168837
25,16,0,14344.60646533966,51200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,16,0,14556.60350561142,53248,0.009617519,0.155908203125,-11.097894072532654,-0.0009868144989013672,0.0003,315.30731201171875,-0.005446606659097597,0.969396710395813,1053.5547220490873
27,17,3,14768.551229715347,55296,0.01591326,0.22314453125,-11.088974639773369,-0.2841233015060425,0.0003,0.9619457125663757,-0.012543393147643656,0.9673221707344055,1.917668549902737
28,18,5,14980.672886610031,57344,0.018041195,0.277685546875,-11.076220828294755,0.21631836891174316,0.0003,0.7000166773796082,-0.010877973411697894,0.9646353721618652,1.4610842972993852
29,18,3,15192.501540660858,59392,0.016148593,0.206982421875,-11.06371338367462,0.2617974877357483,0.0003,0.9664121866226196,-0.020774097560206428,0.9656723737716675,1.9002437375485897
30,19,0,17209.283959150314,61440,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,20,5,17421.355309963226,63488,0.0069456273,0.03876953125,-11.047475755214691,-0.0013196468353271484,0.0003,28.15134620666504,-0.002357543507241644,0.9636563658714294,1042.0482554644345
32,20,3,17633.31793642044,65536,0.012454877,0.136376953125,-11.040318387746812,-1.4396657943725586,0.0003,0.9131463170051575,-0.012329602285171859,0.9622958898544312,1.9336922431364656
33,21,4,17845.401405334473,67584,0.016935386,0.220654296875,-11.014698711037635,0.24337279796600342,0.0003,0.8001790046691895,-0.01345202638185583,0.9582264423370361,1.596879978850484
34,21,3,18057.411861419678,69632,0.01857166,0.247802734375,-10.966314619779586,0.20008611679077148,0.0003,1.2915257215499878,-0.011858025308174546,0.9515131115913391,1.9385107714682817
35,22,0,20070.18018555641,71680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,23,5,20282.356063127518,73728,0.008199373,0.05302734375,-10.849200707674026,-0.0011578798294067383,0.0003,2057.94140625,-0.005673616347485222,0.940475344657898,1045.2994944609702
37,23,3,20494.46074295044,75776,0.016176524,0.2037109375,-10.843243476748466,-0.496940016746521,0.0003,1.4281896352767944,-0.01216050597577123,0.9388000965118408,3.565723394975066
38,24,4,20706.72123360634,77824,0.016958259,0.211083984375,-10.809587547183037,0.21543282270431519,0.0003,0.9086090326309204,-0.011646037262107712,0.9323536157608032,2.2023032438009977
39,24,3,20918.806562423706,79872,0.019724786,0.3009765625,-10.75405552983284,0.2661885619163513,0.0003,0.5364407300949097,-0.0012140645980252885,0.9279518723487854,1.1803694067522883
40,25,0,22931.572578191757,81920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,26,4,23146.025631904602,83968,0.008361509,0.10703125,-10.69996255338192,0.0015496611595153809,0.0003,5.308770179748535,-0.0025599165106541476,0.9235520958900452,1047.9661909580232
42,26,3,23360.0423514843,86016,0.034272537,0.283740234375,-10.686791017651558,-3.0166006088256836,0.0003,1.0244120359420776,-0.004277057871513534,0.9205873012542725,2.725178728811443
43,27,4,23572.168085336685,88064,0.024258338,0.326513671875,-10.64470715522766,0.25545525550842285,0.0003,0.47292560338974,-0.0054863198747625574,0.9160611629486084,1.1901594303548335
44,28,0,25584.88480758667,90112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,28,0,25797.06859278679,92160,0.0148472665,0.121728515625,-10.611358860135079,0.0003553032875061035,0.0003,2.2229716777801514,-0.0027069528980064204,0.9142804145812988,1049.78944247514
46,29,4,26009.21293282509,94208,0.019402102,0.27451171875,-10.56765382885933,0.13840371370315552,0.0003,0.7708156704902649,-0.011466779437614604,0.9057579040527344,1.2238318260759116
47,29,3,26221.281740665436,96256,0.020880718,0.23818359375,-10.51620846092701,0.16332340240478516,0.0003,0.7886849641799927,-0.005765640777826775,0.9010265469551086,1.3368674708530306
48,30,4,26433.4868953228,98304,0.029613065,0.258056640625,-10.472028279304505,0.17012792825698853,0.0003,0.7158520817756653,-0.005456039070850238,0.896843671798706,1.3010542960837483
49,31,0,28446.94608426094,100352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,31,0,28659.255212783813,102400,0.00834243,0.131640625,-10.408209943771363,-0.00950932502746582,0.0003,836.7974243164062,-0.0013597097196907271,0.8918098211288452,1053.179839809239
51,32,4,28872.011923074722,104448,0.026856115,0.227978515625,-10.390915760397911,0.09153962135314941,0.0003,0.5606825947761536,-0.005139160579710733,0.8887157440185547,1.272662511654198
52,32,3,29084.333651542664,106496,0.022166781,0.224560546875,-10.367074048519134,0.19002985954284668,0.0003,0.4968245327472687,-0.004514747520443052,0.888076663017273,1.163238356076181
53,33,3,29296.80859541893,108544,0.02170229,0.271728515625,-10.345909675955772,0.1649964451789856,0.0003,0.5853338837623596,-0.007971671382256318,0.8839012980461121,1.090940747782588
54,34,0,31311.608859300613,110592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,34,0,31524.040539503098,112640,0.031989805,0.111328125,-10.321187517046928,-0.001061558723449707,0.0003,2989.484619140625,9.985997166950256e-05,0.8831979036331177,1049.3353086575867
56,35,4,31736.49269747734,114688,0.025175678,0.297412109375,-10.277770507335664,0.11667114496231079,0.0003,0.5726370811462402,-0.003157753372215666,0.876333475112915,1.1671981114894152
57,35,2,31948.915510892868,116736,0.034414224,0.246044921875,-10.231966161727906,0.1891452670097351,0.0003,0.47596657276153564,-0.007685763132758439,0.8716487884521484,1.0611412558704614
58,36,3,32161.38305568695,118784,0.022969812,0.26962890625,-10.213614156842231,0.16907286643981934,0.0003,0.44261234998703003,-0.002983596021658741,0.8712998032569885,1.0838938439264894
59,37,0,34174.40722799301,120832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,37,0,34387.049501657486,122880,0.011381598,0.121923828125,-10.1995186150074,-0.010190486907958984,0.0003,3.453848123550415,-0.007528193829057272,0.870007336139679,1049.3610708020628
61,38,4,34599.544672966,124928,0.03337673,0.286181640625,-10.17887830734253,-0.08701765537261963,0.0003,0.4812670648097992,-0.001867528430011589,0.8670258522033691,1.0926575923338533
62,39,5,34815.074301719666,126976,0.026008084,0.237109375,-10.15850176513195,-0.2782541513442993,0.0003,0.6893172264099121,0.0006707747634209227,0.865479052066803,5.141745923273265
63,39,3,35029.040387153625,129024,0.021415606,0.26982421875,-10.144312244653701,0.15916800498962402,0.0003,0.3874070346355438,-0.007846877978590783,0.863432765007019,0.9109903881326318
64,40,0,37042.07805895805,131072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,40,0,37254.17493057251,133120,0.020724641,0.224072265625,-10.125417971611023,0.0010314583778381348,0.0003,3521.9453125,-0.005649429961340502,0.8633404970169067,1053.9771695651114
66,41,3,37466.34514474869,135168,0.028131522,0.272802734375,-10.085062345862388,0.1531490683555603,0.0003,0.5025765895843506,0.0042513832071563225,0.8560761213302612,0.9981919884681701
67,42,5,37678.44652056694,137216,0.042762328,0.289208984375,-10.065477403998376,-9.237323760986328,0.0003,0.3428639769554138,-0.002114393289957661,0.8570083379745483,1.0956224931403995
68,42,3,37890.64968466759,139264,0.03917354,0.25439453125,-10.050315406918525,0.06551629304885864,0.0003,14.462823867797852,0.0037630763108609244,0.8545547127723694,14.767320567369461
69,43,0,39903.778824567795,141312,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70,43,0,40115.95784020424,143360,0.021694992,0.219775390625,-9.981240937113762,-0.0007361173629760742,0.0003,726.4476928710938,-0.00362342509906739,0.8484759330749512,1051.3695161305368
71,44,3,40328.31739234924,145408,0.046502,0.290673828125,-9.990009838342667,-0.04489731788635254,0.0003,0.6442999839782715,0.0034405573504045607,0.8500556349754333,1.11244952455163
72,45,4,40540.69327020645,147456,0.02967564,0.265234375,-9.97089313864708,0.15753358602523804,0.0003,0.630852997303009,0.002262662631983403,0.8452619910240173,1.0535815559327601
73,45,3,40753.48073101044,149504,0.029853769,0.257666015625,-9.924563851952552,0.2117207646369934,0.0003,0.4202645421028137,-0.0018368497097981163,0.8400484323501587,0.824833661224693
74,46,0,42767.43307685852,151552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,47,5,42979.865087509155,153600,0.018361183,0.194140625,-9.926887580752373,-0.0009145736694335938,0.0003,3.296595573425293,-0.005049977691669483,0.8421083688735962,1049.525624296069
76,47,3,43192.0827934742,155648,0.032285776,0.255810546875,-9.89714626967907,-6.011358261108398,0.0003,0.45669108629226685,-0.0006329368530714419,0.8392988443374634,3.9079332523047925
77,48,4,43404.387031555176,157696,0.05581545,0.309130859375,-9.84457714855671,0.19818449020385742,0.0003,0.41904181241989136,-0.0012746474603773095,0.8321125507354736,0.9453611593693495
78,48,3,43618.16223692894,159744,0.02863767,0.265966796875,-9.78825956583023,0.1876673698425293,0.0003,0.5309213995933533,0.0036414296700968407,0.8272268772125244,0.9633364904671907
79,49,0,45631.32348203659,161792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80,50,5,45843.94513654709,163840,0.018320007,0.22626953125,-9.706889432668685,0.000567317008972168,0.0003,16.62420654296875,-0.0012529349332908168,0.8206807374954224,1048.603362813592
81,50,3,46056.4155755043,165888,0.03605463,0.28994140625,-9.700811287760734,0.03872483968734741,0.0003,0.31692469120025635,0.00727912240618025,0.8209617137908936,0.934728374518454
82,51,4,46269.02875208855,167936,0.035422187,0.290576171875,-9.684814354777336,0.14500319957733154,0.0003,0.4563043415546417,-0.004487083942512982,0.8182117938995361,1.0477864310145377
83,51,3,46482.17856502533,169984,0.032765046,0.30048828125,-9.636306563019753,-1.083620309829712,0.0003,1.52391517162323,-0.0025289844095823357,0.8127619624137878,1.8507499946281314
84,52,0,48494.86640095711,172032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,53,4,48706.863939762115,174080,0.03501708,0.25361328125,-9.548719608783722,0.0006529092788696289,0.0003,448.71295166015625,0.002711269885185175,0.8063806295394897,924.2357462126762
86,53,3,48918.82150602341,176128,0.057411663,0.303662109375,-9.54174247086048,-3.003185749053955,0.0003,0.4223406910896301,-0.0021122757912962697,0.8063505291938782,5.8106678035110235
87,54,4,49130.69181728363,178176,0.025639074,0.248876953125,-9.537973231077194,0.17352205514907837,0.0003,0.41595807671546936,0.006511979299830273,0.8067249059677124,0.7758043183013796
88,55,0,51143.53117418289,180224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89,55,0,51357.77930545807,182272,0.019895874,0.256982421875,-9.529378688335418,0.00038176774978637695,0.0003,18.09647560119629,-0.005725242629705462,0.8067553639411926,1050.581795657426
90,56,4,51570.1639277935,184320,0.047677703,0.322216796875,-9.53581645488739,-0.02516496181488037,0.0003,0.30029624700546265,0.0034744801610941066,0.8077753782272339,0.8459084490314126
91,56,3,51782.15968179703,186368,0.04188049,0.3107421875,-9.514122679829597,0.1713312268257141,0.0003,0.38798826932907104,0.004915961133883684,0.8027076125144958,0.7930166622623801
92,57,3,51994.277717113495,188416,0.03839619,0.287646484375,-9.458225658535957,0.1873307228088379,0.0003,0.3690214157104492,0.002234990074794041,0.7986587882041931,0.8321059057489038
93,58,0,54007.07548356056,190464,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,58,0,54219.02498912811,192512,0.037549466,0.243701171875,-9.422850951552391,0.00028699636459350586,0.0003,968.4271240234375,-0.002509741057292558,0.7984798550605774,1045.9542665675283
